"","mindist_finaldatabase$ingredient","supplier","product_offered_by_supplier","distance_in_miles","total_food_miles"
"1","basil","22634 Mansie Road  Malibu California United States of America the 90265","   Basil   ",12.5605791694662,42.2871940047192
"2","tomato","22634 Mansie Road  Malibu California United States of America the 90265","   Tomatoes   ",12.5605791694662,42.2871940047192
"3","wheat","15963 Strathern St.  Van Nuys California United States of America the 91406","      Wheat Loaf Bread",4.57887799043528,42.2871940047192
"4","milk","60311 Encino Road  Rutledge Missouri United States of America the 63563","      Cow's milk",3.15326159743363,42.2871940047192
"5","yeast","2429 Yates Ave.  Commerce California United States of America the 90040","      Yeast Extract Type Flavor O.S. (AU0179)",21.9944752473841,42.2871940047192
